ticker,horizon_years,start_price_drawdown,start,end,months,total_contributed,dca_final_value,lump_sum_final_value,dca_return,lump_sum_return,dca_vs_lump_sum,dca_max_drawdown,dca_days_to_recover,lump_sum_max_drawdown,lump_sum_days_to_recover,dca_worst_vs_contributed,lump_sum_worst_vs_contributed
EWJ,5,-0.103578,2013-01-02,2017-12-29,60,600000.0,781330.009739,964531.158264,0.302217,0.607552,-0.189938,-0.201617,223.0,-0.215585,376.0,-0.093566,-0.035035
EWJ,5,-0.108065,2013-02-01,2018-01-31,60,600000.0,814129.223651,1018070.631522,0.356882,0.696784,-0.200321,-0.201161,223.0,-0.215585,376.0,-0.098038,-0.003018
EWJ,5,-0.074864,2013-03-01,2018-02-28,60,600000.0,783132.390306,952372.273716,0.305221,0.587287,-0.177703,-0.20067,223.0,-0.215585,376.0,-0.102909,0.0
EWJ,5,-0.068583,2013-04-01,2018-03-29,60,600000.0,772592.376011,939908.653785,0.287654,0.566514,-0.178013,-0.200174,223.0,-0.215585,376.0,-0.106954,0.0
EWJ,5,-0.011111,2013-05-01,2018-04-30,60,600000.0,766626.704246,842681.198346,0.277711,0.404469,-0.090253,-0.199658,223.0,-0.215585,376.0,-0.111031,-0.084702
EWJ,5,-0.126427,2013-06-03,2018-05-31,60,600000.0,751272.214999,896836.566324,0.25212,0.494728,-0.162309,-0.199164,209.0,-0.215585,376.0,-0.112139,-0.011204
EWJ,5,-0.0694,2013-07-01,2018-06-29,60,600000.0,728996.994981,822407.142597,0.214995,0.370679,-0.113581,-0.198593,209.0,-0.215585,376.0,-0.115639,-0.061409
EWJ,5,-0.055474,2013-08-01,2018-07-31,60,600000.0,733218.506126,818956.560304,0.222031,0.364928,-0.104692,-0.198018,209.0,-0.215585,376.0,-0.117388,-0.075248
EWJ,5,-0.087422,2013-09-03,2018-08-31,60,600000.0,725640.961556,843137.74289,0.209402,0.40523,-0.139357,-0.197411,209.0,-0.215585,376.0,-0.118793,-0.042874
EWJ,5,-0.027622,2013-10-01,2018-09-28,60,600000.0,746630.474097,818603.839238,0.244384,0.36434,-0.087922,-0.196735,208.0,-0.215585,376.0,-0.121411,-0.101736
EWJ,5,-0.034994,2013-11-01,2018-10-31,60,600000.0,676435.372086,751041.111951,0.127392,0.251735,-0.099336,-0.196051,208.0,-0.215585,376.0,-0.122114,-0.094874
EWJ,5,-0.014742,2013-12-02,2018-11-30,60,600000.0,680086.479678,742138.889317,0.133477,0.236898,-0.083613,-0.195309,208.0,-0.215585,376.0,-0.123122,-0.113683
EWJ,5,-0.016475,2014-01-02,2018-12-31,60,600000.0,625470.465119,685046.32005,0.042451,0.141744,-0.086966,-0.218179,,-0.228625,,-0.123485,-0.113702
EWJ,5,-0.085667,2014-02-03,2019-01-31,60,600000.0,668176.731195,789075.784305,0.113628,0.315126,-0.153216,-0.217982,,-0.228625,,-0.123877,-0.046631
EWJ,5,-0.065898,2014-03-03,2019-02-28,60,600000.0,666046.545965,773514.568947,0.110078,0.289191,-0.138935,-0.217761,,-0.228625,,-0.127095,-0.066808
EWJ,5,-0.064251,2014-04-01,2019-03-29,60,600000.0,667516.656068,777266.113964,0.112528,0.295444,-0.141199,-0.217537,,-0.228625,,-0.129717,-0.068451
EWJ,5,-0.075783,2014-05-01,2019-04-30,60,600000.0,672937.464607,797031.819452,0.121562,0.328386,-0.155696,-0.217303,,-0.228625,,-0.132501,-0.056827
EWJ,5,-0.034597,2014-06-02,2019-05-31,60,600000.0,637061.535018,725854.715721,0.061769,0.209758,-0.122329,-0.217056,,-0.228625,,-0.136105,-0.097065
EWJ,5,0.0,2014-07-01,2019-06-28,60,600000.0,663287.307474,720573.261581,0.105479,0.200955,-0.079501,-0.21681,,-0.228625,,-0.138057,-0.14199
EWJ,5,-0.021225,2014-08-01,2019-07-31,60,600000.0,658350.7671,733096.361378,0.097251,0.221827,-0.101959,-0.216565,,-0.228625,,-0.13785,-0.123384
EWJ,5,-0.026939,2014-09-02,2019-08-30,60,600000.0,650943.263341,731567.405413,0.084905,0.219279,-0.110207,-0.216305,,-0.228625,,-0.138654,-0.118236
EWJ,5,-0.054694,2014-10-01,2019-09-30,60,600000.0,682674.185466,792431.080874,0.13779,0.320718,-0.138507,-0.216032,,-0.228625,,-0.139855,-0.092347
EWJ,5,-0.00898,2014-11-03,2019-10-31,60,600000.0,702744.259607,781721.778197,0.17124,0.30287,-0.10103,-0.215737,,-0.228625,,-0.142824,-0.134215
EWJ,5,-0.046531,2014-12-01,2019-11-29,60,600000.0,708559.68516,822893.277344,0.180933,0.371489,-0.138941,-0.215443,,-0.228625,,-0.143398,-0.100118
EWJ,5,-0.075343,2015-01-02,2019-12-31,60,600000.0,710994.23091,855913.258908,0.18499,0.426522,-0.169315,-0.215123,354.0,-0.228625,,-0.146489,-0.072078
EWJ,5,-0.046601,2015-02-02,2020-01-31,60,600000.0,688852.283918,809231.537084,0.148087,0.348719,-0.148757,-0.214777,347.0,-0.228625,,-0.152213,-0.100051
EWJ,5,-0.001613,2015-03-02,2020-02-28,60,600000.0,628449.062384,695953.776963,0.047415,0.159923,-0.096996,-0.214423,347.0,-0.228625,,-0.15656,-0.156025
EWJ,5,-0.022533,2015-04-01,2020-03-31,60,600000.0,584477.731505,638721.354919,-0.02587,0.064536,-0.084925,-0.281445,,-0.30693,,-0.156608,-0.169443
EWJ,5,-0.022523,2015-05-01,2020-04-30,60,600000.0,612371.350269,646749.976356,0.020619,0.077917,-0.053156,-0.281414,,-0.30693,,-0.155325,-0.197511
EWJ,5,-0.015766,2015-06-01,2020-05-29,60,600000.0,654911.933118,687604.165261,0.09152,0.146007,-0.047545,-0.281382,,-0.30693,,-0.150638,-0.20302
EWJ,5,-0.026613,2015-07-01,2020-06-30,60,600000.0,652663.828783,694586.774407,0.087773,0.157645,-0.060357,-0.28135,,-0.30693,,-0.150513,-0.194139
EWJ,5,-0.028122,2015-08-03,2020-07-31,60,600000.0,644112.700389,688191.845567,0.073521,0.146986,-0.064051,-0.281316,,-0.30693,,-0.151484,-0.192888
EWJ,5,-0.126969,2015-09-01,2020-08-31,60,600000.0,686076.235275,818144.490284,0.14346,0.363574,-0.161424,-0.281281,,-0.30693,,-0.152516,-0.101503
EWJ,5,-0.131497,2015-10-01,2020-09-30,60,600000.0,694762.795977,837292.938583,0.157938,0.395488,-0.170227,-0.28124,183.0,-0.30693,,-0.155484,-0.096819
EWJ,5,-0.063586,2015-11-02,2020-10-30,60,600000.0,681099.621794,765658.789081,0.135166,0.276098,-0.11044,-0.281196,183.0,-0.30693,,-0.158663,-0.16232
EWJ,5,-0.051513,2015-12-01,2020-11-30,60,600000.0,749854.91906,835735.489224,0.249758,0.392892,-0.10276,-0.281155,183.0,-0.30693,238.0,-0.160551,-0.172983
EWJ,5,-0.09321,2016-01-04,2020-12-31,60,600000.0,785510.989178,920803.833659,0.309185,0.534673,-0.146929,-0.281112,183.0,-0.30693,238.0,-0.162279,-0.134954
EWJ,5,-0.131215,2016-02-01,2021-01-29,60,600000.0,773700.810956,952975.22955,0.289501,0.588292,-0.188121,-0.281065,183.0,-0.30693,238.0,-0.164929,-0.097113
EWJ,5,-0.151737,2016-03-01,2021-02-26,60,600000.0,781810.541793,993952.060392,0.303018,0.656587,-0.213432,-0.281013,182.0,-0.30693,238.0,-0.168554,-0.024194
EWJ,5,-0.154018,2016-04-01,2021-03-31,60,600000.0,778489.974427,1001013.499202,0.297483,0.668356,-0.222298,-0.280958,182.0,-0.30693,238.0,-0.17284,-0.021564
EWJ,5,-0.116013,2016-05-02,2021-04-30,60,600000.0,759328.053193,942598.994193,0.265547,0.570998,-0.194432,-0.280899,182.0,-0.30693,238.0,-0.177368,-0.022454
EWJ,5,-0.104612,2016-06-01,2021-05-28,60,600000.0,766465.094366,946607.767797,0.277442,0.57768,-0.190303,-0.28084,182.0,-0.30693,238.0,-0.181121,-0.034901
EWJ,5,-0.12054,2016-07-01,2021-06-30,60,600000.0,754739.463813,956136.204909,0.257899,0.59356,-0.210636,-0.280778,182.0,-0.30693,238.0,-0.184759,0.0
EWJ,5,-0.073043,2016-08-01,2021-07-30,60,600000.0,744043.902912,901368.780901,0.240073,0.502281,-0.17454,-0.280712,182.0,-0.30693,238.0,-0.188966,-0.050876
EWJ,5,-0.052359,2016-09-01,2021-08-31,60,600000.0,753128.869364,898642.526019,0.255215,0.497738,-0.161926,-0.280646,182.0,-0.30693,238.0,-0.192178,-0.071593
EWJ,5,-0.0424,2016-10-03,2021-09-30,60,600000.0,768222.622778,913349.445828,0.280371,0.522249,-0.158895,-0.280577,182.0,-0.30693,238.0,-0.195049,-0.081248
EWJ,5,-0.036271,2016-11-01,2021-10-29,60,600000.0,742951.399037,883641.436378,0.238252,0.472736,-0.159216,-0.280505,182.0,-0.30693,238.0,-0.197825,-0.087091
EWJ,5,-0.052551,2016-12-01,2021-11-30,60,600000.0,715739.234,871623.026107,0.192899,0.452705,-0.178843,-0.28043,182.0,-0.30693,238.0,-0.200593,-0.071405
EWJ,5,-0.045576,2017-01-03,2021-12-31,60,600000.0,727460.893709,884955.294292,0.212435,0.474925,-0.177969,-0.280349,170.0,-0.30693,238.0,-0.203905,-0.078191
EWJ,5,-0.014963,2017-02-01,2022-01-31,60,600000.0,691617.310828,820573.109591,0.152696,0.367622,-0.157153,-0.280264,170.0,-0.30693,238.0,-0.207214,-0.106839
