ticker,start_year,start,end,months,total_contributed,dca_final_value,lump_sum_final_value,dca_return,lump_sum_return,dca_vs_lump_sum,dca_max_drawdown,dca_days_to_recover,lump_sum_max_drawdown,lump_sum_days_to_recover,dca_worst_vs_contributed,lump_sum_worst_vs_contributed
VT,2019,2019-01-02,2026-08-31,92,920000.0,1663841.916617,2631638.381846,0.808524,1.860477,-0.367754,-0.338685,120.0,-0.342362,154.0,-0.25619,-0.142528
VT,2020,2020-01-02,2026-08-31,80,800000.0,1360716.238516,1784250.080968,0.700895,1.230313,-0.237374,-0.322047,66.0,-0.342362,154.0,-0.309834,-0.33143
VT,2021,2021-01-04,2026-08-31,68,680000.0,1076996.852227,1321569.763033,0.583819,0.943485,-0.185062,-0.220264,256.0,-0.26382,474.0,-0.182778,-0.116313
VT,2022,2022-01-03,2026-08-31,56,560000.0,865736.828465,909736.436873,0.545959,0.624529,-0.048365,-0.165236,105.0,-0.261612,470.0,-0.163313,-0.261339
VT,2023,2023-01-03,2026-08-31,44,440000.0,639585.740501,876257.211089,0.453604,0.991494,-0.270094,-0.162657,37.0,-0.165145,38.0,-0.040711,0.0
VT,2024,2024-01-02,2026-08-31,32,320000.0,421439.599784,527025.487926,0.316999,0.646955,-0.200343,-0.160337,37.0,-0.165145,38.0,-0.075712,-0.013038
VT,2025,2025-01-02,2026-08-31,20,200000.0,241794.050891,280938.455556,0.20897,0.404692,-0.139334,-0.144437,34.0,-0.165145,38.0,-0.125303,-0.117221
VT,2026,2026-01-02,2026-08-31,8,80000.0,86211.902354,90926.633801,0.077649,0.136583,-0.051852,-0.092807,14.0,-0.096735,16.0,-0.072604,-0.053447
EWJ,2010,2010-09-09,2026-08-31,192,1920000.0,4152297.841708,6331166.340507,1.162655,2.297482,-0.34415,-0.32329,495.0,-0.331441,503.0,-0.130287,-0.086244
EWJ,2011,2011-01-03,2026-08-31,188,1880000.0,4023988.882504,5441281.800809,1.14042,1.894299,-0.26047,-0.322973,495.0,-0.331441,503.0,-0.140432,-0.197969
EWJ,2012,2012-01-03,2026-08-31,176,1760000.0,3652126.127431,5913782.676614,1.075072,2.360104,-0.382438,-0.321898,490.0,-0.331441,503.0,-0.096991,-0.068891
EWJ,2013,2013-01-02,2026-08-31,164,1640000.0,3252934.640707,5021458.903793,0.983497,2.061865,-0.352193,-0.320393,490.0,-0.331441,503.0,-0.093566,-0.035035
EWJ,2014,2014-01-02,2026-08-31,152,1520000.0,2920015.405807,3848092.184424,0.921063,1.53164,-0.241178,-0.31872,490.0,-0.331441,503.0,-0.123485,-0.113702
EWJ,2015,2015-01-02,2026-08-31,140,1400000.0,2610373.06488,3710750.16327,0.864552,1.650536,-0.296538,-0.316634,488.0,-0.331441,503.0,-0.146489,-0.072078
EWJ,2016,2016-01-04,2026-08-31,128,1280000.0,2319554.688978,3162797.155526,0.812152,1.470935,-0.266613,-0.313938,483.0,-0.331441,503.0,-0.162279,-0.134954
EWJ,2017,2017-01-03,2026-08-31,116,1160000.0,2022194.889633,2723230.777694,0.743271,1.347613,-0.257428,-0.309934,469.0,-0.331441,503.0,-0.203905,-0.078191
EWJ,2018,2018-01-02,2026-08-31,104,1040000.0,1764754.315269,1969034.377919,0.696879,0.893302,-0.103746,-0.304622,449.0,-0.331441,503.0,-0.224479,-0.25658
EWJ,2019,2019-01-02,2026-08-31,92,920000.0,1533131.848891,2025968.354277,0.666448,1.20214,-0.24326,-0.296962,447.0,-0.331441,503.0,-0.210384,-0.135312
EWJ,2020,2020-01-02,2026-08-31,80,800000.0,1289316.98941,1471036.665863,0.611646,0.838796,-0.123532,-0.283314,456.0,-0.331441,503.0,-0.243117,-0.277982
