ticker,episode_peak,episode_depth,start_point,horizon_years,start,end,months,total_contributed,dca_final_value,lump_sum_final_value,dca_return,lump_sum_return,dca_vs_lump_sum,dca_max_drawdown,dca_days_to_recover,lump_sum_max_drawdown,lump_sum_days_to_recover,dca_worst_vs_contributed,lump_sum_worst_vs_contributed
VTI,2018-09-20,-0.200464,recovery,1,2019-04-23,2020-03-31,12,120000.0,102378.5709,105209.268573,-0.146845,-0.123256,-0.026905,-0.345242,,-0.350003,,-0.263016,-0.242639
VTI,2018-09-20,-0.200464,recovery,3,2019-04-23,2022-03-31,36,360000.0,475436.375523,573790.020942,0.320657,0.593861,-0.171411,-0.345242,77.0,-0.350003,142.0,-0.263016,-0.242639
VTI,2018-09-20,-0.200464,recovery,5,2019-04-23,2024-03-28,60,600000.0,861840.042885,1127543.126619,0.4364,0.879239,-0.235648,-0.345242,77.0,-0.350003,142.0,-0.263016,-0.242639
VTI,2020-02-19,-0.350003,peak,1,2020-02-19,2021-01-29,12,120000.0,144968.4714,137615.060969,0.208071,0.146792,0.053435,-0.317849,37.0,-0.350003,142.0,-0.317849,-0.350003
VTI,2020-02-19,-0.350003,peak,3,2020-02-19,2023-01-31,36,360000.0,392222.9205,447982.782434,0.089508,0.244397,-0.124469,-0.317849,37.0,-0.350003,142.0,-0.317849,-0.350003
VTI,2020-02-19,-0.350003,peak,5,2020-02-19,2025-01-31,60,600000.0,894997.725229,1122783.633731,0.491663,0.871306,-0.202876,-0.317849,37.0,-0.350003,142.0,-0.317849,-0.350003
VTI,2020-02-19,-0.350003,trough,1,2020-03-23,2021-02-26,12,120000.0,153031.248101,218362.85425,0.27526,0.81969,-0.299188,-0.091591,19.0,-0.091591,47.0,0.0,0.0
VTI,2020-02-19,-0.350003,trough,3,2020-03-23,2023-02-28,36,360000.0,385638.050761,672654.000192,0.071217,0.868483,-0.426692,-0.232112,,-0.253633,,-0.034851,0.0
VTI,2020-02-19,-0.350003,trough,5,2020-03-23,2025-02-28,60,600000.0,877686.270266,1694740.226218,0.46281,1.824567,-0.482112,-0.232112,392.0,-0.253633,433.0,-0.034851,0.0
VTI,2020-02-19,-0.350003,recovery,1,2020-08-12,2021-07-30,12,120000.0,141761.115844,161258.899565,0.181343,0.343824,-0.12091,-0.091591,19.0,-0.091591,47.0,-0.058772,-0.038093
VTI,2020-02-19,-0.350003,recovery,3,2020-08-12,2023-07-31,36,360000.0,410911.61224,502512.152308,0.141421,0.395867,-0.182285,-0.227842,379.0,-0.253633,,-0.114257,-0.038093
VTI,2020-02-19,-0.350003,recovery,5,2020-08-12,2025-07-31,60,600000.0,867343.540311,1172403.927393,0.445573,0.954007,-0.260201,-0.227842,379.0,-0.253633,433.0,-0.114257,-0.038093
VTI,2022-01-03,-0.253633,peak,1,2022-01-03,2022-12-30,12,120000.0,111626.628893,95963.738054,-0.069778,-0.200302,0.163217,-0.179101,60.0,-0.253633,,-0.171053,-0.253633
VTI,2022-01-03,-0.253633,peak,3,2022-01-03,2024-12-31,36,360000.0,476049.119175,449280.361511,0.322359,0.248001,0.059581,-0.179101,60.0,-0.253633,433.0,-0.171053,-0.253633
VTI,2022-01-03,-0.253633,trough,1,2022-10-12,2023-09-29,12,120000.0,125750.123714,144494.525642,0.047918,0.204121,-0.129724,-0.076422,66.0,-0.083567,80.0,-0.013718,0.0
VTI,2022-01-03,-0.253633,trough,3,2022-10-12,2025-09-30,36,360000.0,500066.6648,688001.860392,0.389074,0.911116,-0.273161,-0.190073,79.0,-0.193036,80.0,-0.013718,0.0
VTI,2022-01-03,-0.253633,recovery,1,2023-12-19,2024-11-29,12,120000.0,140146.050402,153345.775633,0.167884,0.277881,-0.086078,-0.08201,25.0,-0.085704,45.0,-0.015081,-0.018025
VTI,2025-02-19,-0.193036,peak,1,2025-02-19,2026-01-30,12,120000.0,134297.907932,136471.561335,0.119149,0.137263,-0.015928,-0.152987,34.0,-0.193036,80.0,-0.152987,-0.193036
VTI,2025-02-19,-0.193036,trough,1,2025-04-08,2026-03-31,12,120000.0,125266.530173,159804.137794,0.043888,0.331701,-0.216125,-0.08819,,-0.089182,,0.0,0.0
VTI,2025-02-19,-0.193036,recovery,1,2025-06-27,2026-05-29,12,120000.0,137771.148709,149132.039087,0.148093,0.242767,-0.07618,-0.087935,15.0,-0.089182,15.0,-0.031508,0.0
VT,2011-04-29,-0.238324,peak,1,2011-04-29,2012-03-30,12,120000.0,126052.84064,113985.807517,0.05044,-0.050118,0.105864,-0.188519,125.0,-0.238324,,-0.188519,-0.238324
VT,2011-04-29,-0.238324,peak,3,2011-04-29,2014-03-31,36,360000.0,451713.122258,444992.878974,0.254759,0.236091,0.015102,-0.188519,125.0,-0.238324,457.0,-0.188519,-0.238324
VT,2011-04-29,-0.238324,peak,5,2011-04-29,2016-03-31,60,600000.0,693864.577992,750799.887848,0.156441,0.251333,-0.075833,-0.189235,,-0.238324,457.0,-0.188519,-0.238324
VT,2011-04-29,-0.238324,peak,10,2011-04-29,2021-03-31,120,1200000.0,2181369.790523,2836538.595592,0.817808,1.363782,-0.230975,-0.341997,147.0,-0.342362,154.0,-0.188519,-0.238324
VT,2011-04-29,-0.238324,trough,1,2011-10-03,2012-09-28,12,120000.0,129821.242048,150689.415307,0.081844,0.255745,-0.138485,-0.115171,76.0,-0.130301,104.0,-0.046106,0.0
VT,2011-04-29,-0.238324,trough,3,2011-10-03,2014-09-30,36,360000.0,442524.404602,598408.101381,0.229234,0.662245,-0.260497,-0.115171,76.0,-0.130301,104.0,-0.046106,0.0
VT,2011-04-29,-0.238324,trough,5,2011-10-03,2016-09-30,60,600000.0,719832.73263,1053537.27341,0.199721,0.755895,-0.316747,-0.188093,186.0,-0.197898,,-0.046106,0.0
VT,2011-04-29,-0.238324,trough,10,2011-10-03,2021-09-30,120,1200000.0,2206140.542985,3932704.574212,0.83845,2.277254,-0.439027,-0.341968,147.0,-0.342362,154.0,-0.046106,0.0
VT,2011-04-29,-0.238324,recovery,1,2013-01-02,2013-12-31,12,120000.0,135034.909783,144370.24592,0.125291,0.203085,-0.064662,-0.082675,24.0,-0.087162,39.0,-0.027076,-0.009703
VT,2011-04-29,-0.238324,recovery,3,2013-01-02,2015-12-31,36,360000.0,372964.060042,440690.908814,0.036011,0.224141,-0.153683,-0.142555,,-0.148035,,-0.027076,-0.009703
VT,2011-04-29,-0.238324,recovery,5,2013-01-02,2017-12-29,60,600000.0,796550.76498,992109.182578,0.327585,0.653515,-0.197114,-0.182823,182.0,-0.197898,306.0,-0.086292,-0.009703
VT,2011-04-29,-0.238324,recovery,10,2013-01-02,2022-12-30,120,1200000.0,1698709.583087,2567144.878639,0.415591,1.139287,-0.338288,-0.341864,142.0,-0.342362,154.0,-0.086292,-0.009703
VT,2015-05-21,-0.197898,peak,1,2015-05-21,2016-04-29,12,120000.0,120476.793216,110817.314632,0.003973,-0.076522,0.087166,-0.137695,62.0,-0.197898,,-0.133843,-0.197898
VT,2015-05-21,-0.197898,peak,3,2015-05-21,2018-04-30,36,360000.0,436739.10128,441980.994641,0.213164,0.227725,-0.01186,-0.137695,62.0,-0.197898,306.0,-0.133843,-0.197898
VT,2015-05-21,-0.197898,peak,5,2015-05-21,2020-04-30,60,600000.0,661306.294377,724791.860318,0.102177,0.207986,-0.087591,-0.341562,,-0.342362,,-0.13435,-0.197898
VT,2015-05-21,-0.197898,peak,10,2015-05-21,2025-04-30,120,1200000.0,1995521.154739,2699981.732437,0.662934,1.249985,-0.260913,-0.341562,142.0,-0.342362,154.0,-0.13435,-0.197898
VT,2015-05-21,-0.197898,trough,1,2016-02-11,2017-01-31,12,120000.0,131122.617951,152076.608539,0.092688,0.267305,-0.137786,-0.073458,15.0,-0.073458,15.0,-0.006057,0.0
VT,2015-05-21,-0.197898,trough,3,2016-02-11,2019-01-31,36,360000.0,399767.357903,537365.305862,0.110465,0.492681,-0.25606,-0.185929,,-0.199726,,-0.020125,0.0
VT,2015-05-21,-0.197898,trough,5,2016-02-11,2021-01-29,60,600000.0,844353.219541,1223403.624242,0.407255,1.039006,-0.309833,-0.341389,142.0,-0.342362,154.0,-0.159926,0.0
VT,2015-05-21,-0.197898,trough,10,2016-02-11,2026-01-30,120,1200000.0,2357714.299494,4267683.086693,0.964762,2.556403,-0.447542,-0.341389,142.0,-0.342362,154.0,-0.159926,0.0
VT,2015-05-21,-0.197898,recovery,1,2016-12-13,2017-11-30,12,120000.0,133810.184302,144684.352743,0.115085,0.205703,-0.075158,-0.021356,15.0,-0.021356,15.0,-0.016093,-0.016093
