Date,ml:logistic_regression/base,ml:logistic_regression/extended,ml:random_forest/base,ml:random_forest/extended,ml:hist_gradient_boosting/base,ml:hist_gradient_boosting/extended,baseline:always_up,baseline:historical_mean,baseline:momentum_252d,baseline:moving_average_200d,baseline:random
2018-05-17,13290.160274,13468.140129,14192.565966,14137.399578,12969.211724,13837.240553,14137.399578,14137.399578,13697.771339,13697.771339,12596.298674
2018-05-18,13257.183201,13434.721431,14157.349740,14102.320237,12937.031025,13802.906001,14102.320237,14102.320237,13663.782854,13663.782854,12565.043290
2018-05-21,13354.517742,13533.359462,14261.293324,14205.859793,13032.015002,13904.247251,14205.859793,14205.859793,13764.102659,13764.102659,12657.296124
2018-05-22,13316.221487,13494.550350,14220.396743,14165.122176,12994.643576,13864.374558,14165.122176,14165.122176,13724.631853,13724.631853,12620.999266
2018-05-23,13357.705550,13536.589961,14264.697586,14209.250822,13035.125827,13907.566284,14209.250822,14209.250822,13767.388238,13767.388238,12660.317501
2018-05-24,13332.177181,13510.719719,14237.435832,14182.095035,13010.213950,13880.987056,14182.095035,14182.095035,13741.076910,13741.076910,12636.121934
2018-05-25,13298.669114,13476.762918,14201.652559,14146.450851,12977.515081,13846.099653,14146.450851,14146.450851,13706.541146,13706.541146,12604.363279
2018-05-29,13144.962353,13320.997738,14037.509064,13982.945380,12827.520236,13686.065659,13982.945380,13982.945380,13548.120177,13548.120177,12458.681343
2018-05-30,13318.348234,13496.705578,14222.667897,14167.384503,12996.718964,13866.588851,14167.384503,14167.384503,13726.823828,13726.823828,12623.014978
2018-05-31,13232.186749,13409.390231,14130.656022,14075.730277,12912.638221,13776.880588,14075.730277,14075.730277,13638.019758,13638.019758,12541.351870
2018-06-01,13371.536347,13550.605978,14279.467497,14223.963323,13048.622618,13921.966415,14223.963323,14223.963323,13781.643227,13781.643227,12673.426210
2018-06-04,13430.571858,13610.432084,14342.511536,14286.762311,13106.232461,13983.432083,14286.762311,14286.762311,13842.489366,13842.489366,12729.379555
2018-06-05,13449.185292,13629.294786,14362.388828,14306.562340,13124.396393,14002.811726,14306.562340,14306.562340,13861.673676,13861.673676,12747.021207
2018-06-06,13556.622577,13738.170855,14477.121136,14420.848684,13229.239139,14114.671593,14420.848684,14420.848684,13972.406078,13972.406078,12848.849334
2018-06-07,13550.240485,13731.703295,14470.305697,14414.059737,13223.011170,14108.026786,14414.059737,14414.059737,13965.828246,13965.828246,12842.800442
2018-06-08,13592.792084,13774.824739,14515.746563,14459.323974,13264.535177,14152.329993,14459.323974,14459.323974,14009.684909,14009.684909,12883.130480
2018-06-11,13610.341682,13792.609359,14534.487784,14477.992348,13281.660964,14170.602008,14477.992348,14477.992348,14027.772756,14027.772756,12899.763836
2018-06-12,13633.208611,13815.782518,14558.907383,14502.317029,13303.975671,14194.410238,14502.317029,14502.317029,14051.341016,14051.341016,12921.436913
2018-06-13,13578.958513,13760.805911,14500.973688,14444.608521,13251.035677,14137.926972,14444.608521,14444.608521,13995.427060,13995.427060,12870.019141
2018-06-14,13618.319529,13800.694044,14543.007328,14486.478777,13289.446151,14178.908257,14486.478777,14486.478777,14035.995284,14035.995284,12907.325170
2018-06-15,13606.620106,13788.837943,14530.513511,14474.033523,13278.029261,14166.727235,14474.033523,14474.033523,14023.937038,14023.937038,12896.236558
2018-06-18,13574.174025,13755.957350,14495.864332,14439.519025,13246.366731,14132.945534,14439.519025,14439.519025,13990.495831,13990.495831,12865.484444
2018-06-19,13522.585368,13703.677825,14440.772790,14384.641624,13196.023906,14079.233265,14384.641624,14384.641624,13937.324942,13937.324942,12816.589162
2018-06-20,13547.050826,13728.470921,14466.899460,14410.666740,13219.898540,14104.705827,14410.666740,14410.666740,13962.540760,13962.540760,12839.777312
2018-06-21,13462.483245,13642.770823,14376.589716,14320.708029,13137.373209,14016.657080,14320.708029,14320.708029,13875.379479,13875.379479,12759.624891
2018-06-22,13486.418635,13667.026753,14402.150326,14346.169285,13160.730576,14041.577754,14346.169285,14346.169285,13900.048972,13900.048972,12782.310647
2018-06-25,13299.732950,13477.841001,14202.788630,14147.582506,12978.553226,13847.207282,14147.582506,14147.582506,13707.637610,13707.637610,12605.371573
