Date,VOO,VTI,VT,EWJ,BND,BIL
2022-02-09,394.5260620117188,217.06509399414065,95.52824401855467,58.94269943237305,70.08528137207031,76.54962158203125
2022-02-10,387.5936279296875,213.3858795166016,94.15064239501952,58.00710678100586,69.4438705444336,76.54962158203125
2022-02-11,379.8639526367188,209.24673461914065,92.5176239013672,57.539310455322266,69.89710998535156,76.54962158203125
2022-02-14,378.6257019042969,208.4770965576172,92.05233764648438,57.539310455322266,69.50373077392578,76.54124450683594
2022-02-15,384.7044372558594,212.1844787597656,93.66712188720705,58.178035736083984,69.35834503173828,76.55796813964844
2022-02-16,385.1640319824219,212.38157653808597,93.94995880126952,58.18703079223633,69.45242309570312,76.55796813964844
2022-02-17,376.9746398925781,207.55731201171875,92.13443756103516,57.33239364624024,69.60635375976562,76.54962158203125
2022-02-18,374.5638427734375,205.89599609375,91.4866943359375,57.242435455322266,69.72605895996094,76.55796813964844
2022-02-22,370.4644165039063,203.53077697753903,90.40103149414062,56.78363037109375,69.6833267211914,76.55796813964844
2022-02-23,363.7947082519531,199.78585815429688,89.14207458496094,56.19887924194336,69.33267211914062,76.54962158203125
2022-02-24,369.3855590820313,203.2867584228516,89.51609802246094,55.8750228881836,69.48663330078125,76.54962158203125
2022-02-25,377.4530029296875,207.8106689453125,91.49581909179688,57.17046356201172,69.54647064208984,76.54962158203125
2022-02-28,376.5056457519531,207.58544921875,90.93018341064452,56.621700286865234,70.05963134765625,76.54962158203125
2022-03-01,370.8584289550781,204.34738159179688,89.4157485961914,55.84803771972656,70.42707061767578,76.56802368164062
2022-03-02,377.6688537597656,208.2236785888672,90.74772644042967,56.03696060180664,69.56196594238281,76.56802368164062
2022-03-03,375.77392578125,206.6375274658203,89.7989273071289,55.75807189941406,69.87028503417969,76.576416015625
2022-03-04,372.7345275878906,204.57260131835935,88.48519897460938,55.03837966918945,70.11872100830078,76.576416015625
2022-03-07,361.7309265136719,198.26536560058597,85.6661605834961,53.10420608520508,69.77609252929688,76.576416015625
2022-03-08,359.001220703125,197.14846801757807,85.5749282836914,52.33953857421875,69.45057678222656,76.576416015625
2022-03-09,368.5695495605469,202.62034606933597,88.1567611694336,53.75193405151367,69.26213073730469,76.576416015625
2022-03-10,366.9278869628906,201.70997619628903,87.47251892089844,53.52702713012695,68.89384460449219,76.576416015625
2022-03-11,362.2468566894531,198.9693298339844,86.3595199584961,52.66340255737305,68.84243774414062,76.56802368164062
2022-03-14,359.6015625,197.00767517089844,85.82122802734375,52.73536682128906,68.20860290527344,76.576416015625
2022-03-15,367.49072265625,201.11862182617188,87.18060302734375,53.599002838134766,68.3199234008789,76.55965423583984
2022-03-16,375.7083129882813,206.1494140625,89.94487762451172,54.79548645019531,68.42271423339844,76.576416015625
2022-03-17,380.3048095703125,208.90887451171875,90.8845672607422,55.30826187133789,68.48267364501953,76.576416015625
2022-03-18,384.5073852539063,211.3491058349609,91.85163116455078,56.01896667480469,68.67970275878906,76.56802368164062
2022-03-21,384.5261840820313,211.1520538330078,91.62020874023438,56.0009651184082,67.977294921875,76.56802368164062
2022-03-22,388.9913635253906,213.74253845214844,92.66291809082033,56.17189025878906,67.80598449707031,76.56802368164062
2022-03-23,383.9820861816406,210.8313751220703,91.52875518798828,55.83903884887695,68.11434936523438,76.58478546142578
2022-03-24,389.6897277832031,213.83477783203125,92.56231689453124,56.45077133178711,68.0286865234375,76.58478546142578
2022-03-25,391.6662902832031,214.7480316162109,92.77266693115234,56.4417839050293,67.42908477783203,76.56802368164062
2022-03-28,394.36761474609375,216.14146423339844,93.07451629638672,55.59613800048828,67.62610626220703,76.56802368164062
2022-03-29,399.3562927246094,219.4179229736328,94.58367156982422,56.69367599487305,67.92591094970703,76.56802368164062
2022-03-30,396.871337890625,217.6384735107422,94.06233215332033,56.09991836547852,68.08009338378906,76.58478546142578
2022-03-31,390.7720947265625,214.3525848388672,92.64461517333984,55.42521667480469,68.13148498535156,76.58478546142578
2022-04-01,391.8545837402344,215.20941162109372,93.23914337158205,55.71308898925781,67.98377227783203,76.58478546142578
2022-04-04,395.1771545410156,217.03591918945312,93.998291015625,56.162899017333984,68.03533172607422,76.576416015625
2022-04-05,390.2921752929688,213.86300659179688,92.64461517333984,54.69652938842773,67.34834289550781,76.56802368164062
2022-04-06,386.33892822265625,211.40570068359372,91.61107635498048,53.87788391113281,67.14225006103516,76.576416015625
2022-04-07,388.2873229980469,212.2060089111328,91.82144927978516,53.688961029052734,67.0048599243164,76.576416015625
2022-04-08,387.3460388183594,211.54693603515625,91.60194396972656,53.46405792236328,66.64422607421875,76.56802368164062
2022-04-11,380.6350708007813,208.24221801757807,90.32141876220705,52.627418518066406,66.3350601196289,76.576416015625
2022-04-12,379.2420654296875,207.60202026367188,89.9464111328125,51.93470764160156,66.54974365234375,76.576416015625
2022-04-13,383.524658203125,210.322998046875,91.05313873291016,52.681396484375,66.6270523071289,76.576416015625
2022-04-14,378.8655700683594,207.76206970214844,90.1842041015625,52.53746032714844,66.17192077636719,76.56802368164062
2022-04-18,378.9314270019531,207.40431213378903,89.9281234741211,51.9077262878418,65.9572525024414,76.576416015625
2022-04-19,384.9836120605469,211.05735778808597,90.95252990722656,51.91671752929688,65.54508209228516,76.56802368164062
2022-04-20,384.6917724609375,210.7843017578125,91.02570343017578,52.40251159667969,65.9572525024414,76.58478546142578
2022-04-21,378.9878540039063,207.33843994140625,89.63542175292969,51.970699310302734,65.60517120361328,76.58478546142578
2022-04-22,368.6436767578125,201.68939208984372,87.60491180419922,51.197025299072266,65.519287109375,76.576416015625
2022-04-25,370.6579284667969,202.7909240722656,87.70552062988281,51.51189422607422,65.9314956665039,76.58478546142578
2022-04-26,360.0596923828125,197.0100860595703,85.30915069580078,50.42335891723633,66.10323333740234,76.576416015625
2022-04-27,360.9915161132813,197.3961181640625,85.62926483154297,50.621280670166016,65.89715576171875,76.576416015625
2022-04-28,370.0367431640625,202.20721435546875,87.40369415283203,51.547882080078125,65.87138366699219,76.59314727783203
2022-04-29,356.44537353515625,194.7787322998047,85.14452362060547,50.93614196777344,65.42481231689453,76.576416015625
2022-05-02,358.6854858398437,196.2474670410156,85.41890716552734,50.91815185546875,65.0901870727539,76.58478546142578
2022-05-03,360.23858642578125,197.1795654296875,85.87622833251953,51.32297897338867,65.24503326416016,76.576416015625
2022-05-04,371.166259765625,202.96038818359372,87.93418884277344,52.231590270996094,65.66658020019531,76.59314727783203
2022-05-05,358.1301574707031,195.47537231445312,84.93415069580078,50.80120468139648,65.01277160644531,76.59314727783203
2022-05-06,355.880615234375,193.9030914306641,84.0926742553711,50.999122619628906,64.73745727539062,76.59314727783203
2022-05-09,344.3975830078125,187.03009033203125,81.30300903320312,49.55973434448242,65.02998352050781,76.58478546142578
2022-05-10,345.28228759765625,187.4067230224609,81.5865249633789,49.63169479370117,65.2192153930664,76.58478546142578
2022-05-11,339.7196350097656,184.0172882080078,80.54383850097656,49.09193420410156,65.44293212890625,76.58478546142578
2022-05-12,339.4560852050781,184.21502685546875,80.42494201660156,49.64069747924805,65.57193756103516,76.59314727783203
2022-05-13,347.4659729003906,189.1485290527344,82.64753723144531,50.666259765625,65.33109283447266,76.60153198242188
2022-05-16,346.2235107421875,188.21641540527344,82.38227844238281,50.39638137817383,65.43434143066406,76.59314727783203
2022-05-17,353.1510314941406,192.2366485595703,84.08352661132812,50.76521301269531,65.04715728759766,76.59314727783203
2022-05-18,339.164306640625,184.7140350341797,81.2846908569336,50.27942657470703,65.32250213623047,76.59314727783203
2022-05-19,336.8959045410156,183.8949432373047,81.49507904052734,50.711238861083984,65.46012115478516,76.60991668701172
2022-05-20,336.98065185546875,183.8949432373047,81.72372436523438,51.35895919799805,65.65799713134766,76.60991668701172
2022-05-23,343.37164306640625,187.03956604003903,83.00423431396484,51.85375595092773,65.42573547363281,76.60991668701172
2022-05-24,340.8961486816406,185.16595458984372,82.29996490478516,51.65583419799805,65.95909881591797,76.60153198242188
2022-05-25,343.7386779785156,187.2278289794922,82.88534545898438,51.7637825012207,66.22579193115234,76.60991668701172
2022-05-26,350.572021484375,191.05975341796875,84.28475189208984,52.16861343383789,66.15693664550781,76.62665557861328
2022-05-27,359.3630676269531,195.89910888671875,85.98600006103516,52.48347473144531,66.34623718261719,76.60991668701172
2022-05-31,357.3677062988281,194.2891387939453,85.56525421142578,51.8177604675293,65.9676742553711,76.60153198242188
2022-06-01,354.3746032714844,193.00868225097656,84.92500305175781,51.84475326538086,65.67288970947266,76.60237121582031
2022-06-02,361.1044616699219,196.9441680908203,86.6445541381836,52.375526428222656,65.73324584960938,76.6191177368164
2022-06-03,355.2593994140625,193.7995758056641,85.2542724609375,51.286991119384766,65.63843536376953,76.60237121582031
2022-06-06,356.2288513183594,194.37388610839844,85.58353424072266,51.56586837768555,65.25053405761719,76.61073303222656
2022-06-07,359.7114562988281,196.4828338623047,86.21465301513672,51.72780227661133,65.47462463378906,76.60237121582031
2022-06-08,355.7771301269531,194.2797088623047,85.36402893066406,51.0530891418457,65.20745849609375,76.61073303222656
2022-06-09,347.40948486328125,189.628662109375,83.43412017822266,50.68611145019531,65.1212387084961,76.6191177368164
2022-06-10,337.2159118652344,183.9984893798828,81.24810791015625,49.7686767578125,64.5696029663086,76.60237121582031
2022-06-13,324.2174987792969,176.48526000976562,78.22062683105469,48.3788948059082,63.52658462524414,76.61073303222656
2022-06-14,323.4079895019531,175.98623657226562,77.97367858886719,48.0518913269043,63.18181610107422,76.60237121582031
2022-06-15,328.03887939453125,178.54718017578125,79.20845794677734,48.58782196044922,63.90586853027344,76.61073303222656
2022-06-16,317.2618408203125,172.3144073486328,76.72059631347656,47.81571960449219,64.0438003540039,76.62751007080078
2022-06-17,318.0900573730469,172.96401977539062,76.80294036865234,47.28887176513672,64.07826232910156,76.6191177368164
