Date,US equity,Global equity,US + Japan,US 60/40,Global 60/40,Conservative
2018-08-01,2.980736,2.129899,2.547765,2.11659,1.725127,1.531298
2018-08-02,2.995866,2.130182,2.55292,2.12362,1.725611,1.534077
2018-08-03,3.010534,2.137544,2.56175,2.131789,1.730693,1.537714
2018-08-06,3.021853,2.137544,2.563219,2.137463,1.731297,1.540109
2018-08-07,3.030284,2.145758,2.574423,2.139705,1.734129,1.540451
2018-08-08,3.028667,2.144342,2.572694,2.138792,1.733261,1.539991
2018-08-09,3.024855,2.139528,2.567648,2.138673,1.732186,1.540565
2018-08-10,3.004297,2.115456,2.544713,2.131333,1.72173,1.53858
2018-08-13,2.992979,2.104128,2.533601,2.126486,1.716247,1.536891
2018-08-14,3.012266,2.11404,2.548218,2.134406,1.720689,1.539505
2018-08-15,2.990091,2.090535,2.526028,2.125636,1.709909,1.536731
2018-08-16,3.014345,2.106394,2.544665,2.136657,1.71805,1.540922
2018-08-17,3.024393,2.115739,2.553147,2.141981,1.723419,1.543264
2018-08-20,3.031092,2.123951,2.56008,2.145943,1.728317,1.545095
2018-08-21,3.037676,2.132447,2.563975,2.148409,1.732149,1.545898
2018-08-22,3.036752,2.138111,2.566378,2.148521,1.735364,1.546128
2018-08-23,3.032362,2.1282,2.560731,2.146601,1.730491,1.545575
2018-08-24,3.05142,2.143493,2.574837,2.15535,1.738354,1.548933
2018-08-27,3.074403,2.166147,2.599622,2.164369,1.74863,1.551911
2018-08-28,3.076136,2.164449,2.598454,2.163888,1.746762,1.551281
2018-08-29,3.092999,2.174643,2.611344,2.170747,1.751343,1.553556
2018-08-30,3.080409,2.156519,2.59859,2.16586,1.742949,1.552191
2018-08-31,3.080525,2.155953,2.600144,2.166117,1.742843,1.552312
2018-09-04,3.076252,2.142359,2.588634,2.162985,1.735108,1.55074
2018-09-05,3.067589,2.1282,2.575805,2.159404,1.72832,1.549453
2018-09-06,3.058581,2.123669,2.571913,2.156706,1.727128,1.54902
2018-09-07,3.051189,2.11404,2.563074,2.150886,1.720237,1.546038
2018-09-10,3.056962,2.119138,2.568205,2.153928,1.723174,1.547343
2018-09-11,3.068514,2.123385,2.57674,2.157221,1.723795,1.547955
